,timestamp,datetime,pool_price,signal,holder_eth_amount,holder_usdc_amount,lp_eth_amount,lp_usdc_amount,liquidity,fee_eth_amount,fee_usdc_amount,status,trade_num
4416,1641141238.0,2022-01-02 11:35:00,3781.580971524108,,0.0,0.0,1.3412450943260288,5072.0269268533675,6802.831233931603,0.0,0.0,1,1.0
4417,1641141307.0,2022-01-02 11:35:07,3783.3866997343,,0.0,0.0,1.3409249825653557,5073.237744379215,6802.831233931603,0.0,0.0036433827257188554,1,1.0
4418,1641141316.0,2022-01-02 11:35:16,3783.5342463007214,,0.0,0.0,1.3408988362702459,5073.336667853259,6802.831233931603,0.0,0.0002976634123708169,1,1.0
4419,1641141316.0,2022-01-02 11:35:16,3783.4443388280233,,0.0,0.0,1.3409147683282485,5073.276389082403,6802.831233931603,4.793999398993334e-08,0.0,1,1.0
4420,1641141322.0,2022-01-02 11:35:22,3783.750966792216,,0.0,0.0,1.3408604346393431,5073.481965900045,6802.831233931603,0.0,0.0006185862115618716,1,1.0
4421,1641141353.0,2022-01-02 11:35:53,3781.187580061456,,0.0,0.0,1.3413148634971315,5071.763102807181,6802.831233931603,1.3673887395837926e-06,0.0,1,1.0
4422,1641141390.0,2022-01-02 11:36:30,3783.7155863843705,,0.0,0.0,1.3408667036198014,5073.458245750075,6802.831233931603,0.0,0.005100731021746199,1,1.0
4423,1641141431.0,2022-01-02 11:37:11,3782.945959960868,,0.0,0.0,1.3410030938794453,5072.942236286272,6802.831233931603,4.104019848862032e-07,0.0,1,1.0
4424,1641141431.0,2022-01-02 11:37:11,3782.729262795776,,0.0,0.0,1.341041503634288,5072.796938421069,6802.831233931603,1.1557599250563301e-07,0.0,1,1.0
4425,1641141456.0,2022-01-02 11:37:36,3783.11688203406,,0.0,0.0,1.3409728001262948,5073.056838506271,6802.831233931603,0.0,0.0007820463947888054,1,1.0
4426,1641141532.0,2022-01-02 11:38:52,3783.2794126400863,,0.0,0.0,1.3409439955577003,5073.165811896787,6802.831233931603,0.0,0.00032790388319891493,1,1.0
4427,1641141534.0,2022-01-02 11:38:54,3783.460006291188,,0.0,0.0,1.34091199193383,5073.286893437898,6802.831233931603,0.0,0.00036433763624013166,1,1.0
4428,1641141538.0,2022-01-02 11:38:58,3783.7128446347774,,0.0,0.0,1.3408671894283477,5073.456407589372,6802.831233931603,0.0,0.0005100726724413837,1,1.0
4429,1641141583.0,2022-01-02 11:39:43,3783.54219177956,,0.0,0.0,1.3408974283185988,5073.341994892127,6802.831233931603,9.09896396723495e-08,0.0,1,1.0
4430,1641141583.0,2022-01-02 11:40:00,3783.54219177956,,0.0,0.0,1.3408974283185988,5073.341994892127,6802.831233931603,0.0,0.0,1,1.0
4431,1641141602.0,2022-01-02 11:40:02,3783.6248337594047,,0.0,0.0,1.340882784289629,5073.397401798695,6802.831233931603,0.0,0.00016672088234937166,1,1.0
4432,1641141609.0,2022-01-02 11:40:09,3783.840884101274,,0.0,0.0,1.340844502775124,5073.542248822958,6802.831233931603,0.0,0.0004358486186451513,1,1.0
4433,1641141621.0,2022-01-02 11:40:21,3784.563338037964,,0.0,0.0,1.3407165164610757,5074.02657490056,6802.831233931603,0.0,0.0014573502836582291,1,1.0
4434,1641141642.0,2022-01-02 11:40:42,3784.4871304462526,,0.0,0.0,1.3407300152865456,5073.97548825494,6802.831233931603,4.0618331403790807e-08,0.0,1,1.0
4435,1641141650.0,2022-01-02 11:40:50,3784.687678921231,,0.0,0.0,1.3406944925506163,5074.10992715387,6802.831233931603,0.0,0.00040453028765313005,1,1.0
4436,1641141650.0,2022-01-02 11:40:50,3784.632710296016,,0.0,0.0,1.3407042287484379,5074.073078953529,6802.831233931603,2.929648291329796e-08,0.0,1,1.0
4437,1641141700.0,2022-01-02 11:41:40,3786.665437069717,,0.0,0.0,1.3403443275020455,5075.435538724449,6802.831233931603,0.0,0.0040996783478018635,1,1.0
4438,1641141700.0,2022-01-02 11:41:40,3784.858930438541,,0.0,0.0,1.3406641613589552,5074.224723838339,6802.831233931603,9.623887369399242e-07,0.0,1,1.0
4439,1641141741.0,2022-01-02 11:42:21,3786.98959043794,,0.0,0.0,1.3402869618273057,5075.652772639699,6802.831233931603,0.0,0.004297037516630166,1,1.0
4440,1641141741.0,2022-01-02 11:42:21,3787.2085544159695,,0.0,0.0,1.3402482157690014,5075.799507801102,6802.831233931603,0.0,0.0004415300744317862,1,1.0
4441,1641141784.0,2022-01-02 11:43:04,3787.263218739872,,0.0,0.0,1.3402385433455766,5075.836139550206,6802.831233931603,0.0,0.00011022592508829881,1,1.0
4442,1641141806.0,2022-01-02 11:43:26,3787.384674925013,,0.0,0.0,1.3402170533756261,5075.917529028005,6802.831233931603,0.0,0.0002449031428265243,1,1.0
4443,1641141888.0,2022-01-02 11:44:48,3787.6661756622816,,0.0,0.0,1.3401672497391468,5076.1061615673125,6802.831233931603,0.0,0.0005676004191786454,1,1.0
4444,1641141888.0,2022-01-02 11:45:00,3787.6661756622816,,0.0,0.0,1.3401672497391468,5076.1061615673125,6802.831233931603,0.0,0.0,1,1.0
4445,1641141938.0,2022-01-02 11:45:38,3790.226491854304,,0.0,0.0,1.339714528566747,5077.821497695785,6802.831233931603,0.0,0.00516149286401013,1,1.0
4446,1641141971.0,2022-01-02 11:46:11,3788.3856570616736,,0.0,0.0,1.3400399829716156,5076.588251378838,6802.831233931603,9.793011179594696e-07,0.0,1,1.0
4447,1641142035.0,2022-01-02 11:47:15,3795.4031972199577,,0.0,0.0,1.3388005711451876,5081.287968164351,6802.831233931603,0.0,0.014141575081782742,1,1.0
4448,1641142035.0,2022-01-02 11:47:15,3789.7947368827768,,0.0,0.0,1.3397908403428154,5077.532275254955,6802.831233931603,2.979746833383524e-06,0.0,1,1.0
4449,1641142035.0,2022-01-02 11:47:15,3795.2494749351017,,0.0,0.0,1.3388276841716442,5081.185065381011,6802.831233931603,0.0,0.01099134441140239,1,1.0
